CordisName,Country,ActivityType,BestRorName,BestRorId,Score,Error
BJB,LV,PRC,,,0,
ENGIE ENERGIE NEDERLAND NV,NL,PRC,Engie (Belgium),https://ror.org/00c97z041,0.25,
RHODIA OPERATIONS,FR,PRC,Fluid Operations (Germany),https://ror.org/054x53k79,0.25,
GREEN PLANET REAL ESTATE BV,NL,PRC,Real Estate Foundation,https://ror.org/03r04kx35,0.4,
ECOLE NATIONALE SUPERIEURE DES MINES DE PARIS,FR,HES,École Nationale Supérieure des Mines de Paris,https://ror.org/04y8cs423,1,
FFG FAHRZEUGWERKSTATTEN FALKENRIED GMBH,DE,PRC,FFG,https://ror.org/03snzqt88,0.3333333333333333,
EUROPROJECT OOD,BG,PRC,,,0,
INSTITUT NATIONAL DE L ENVIRONNEMENT INDUSTRIEL ET DES RISQUES - INERIS,FR,REC,Institut national de l'environnement industriel et des risques,https://ror.org/034yrjf77,0.6363636363636364,
TECHNISCHE UNIVERSITAET CHEMNITZ,DE,HES,Technische Universitaet Muenchen,https://ror.org/02kkvpp62,0.5,
CEG ELETTRONICA INDUSTRIALE SPA,IT,PRC,CEG,https://ror.org/04g9a2k03,0.3333333333333333,
TALGA AB,SE,PRC,,,0,
ZERO EMISSIONS ENGINEERING BV,NL,PRC,Zero Emissions Resource Organisation,https://ror.org/03j5ebv52,0.4,
RINA SERVICES SPA,IT,PRC,Rina Services (Italy),https://ror.org/0562tzd79,0.6666666666666666,
AEE - INSTITUT FUR NACHHALTIGE TECHNOLOGIEN,AT,REC,Institut für Digitale Technologien,https://ror.org/04jn1bv21,0.5,
THE UNIVERSITY OF LIVERPOOL,UK,HES,University of Liverpool,https://ror.org/04xs57h96,0.75,
AXELERA - ASSOCIATION CHIMIE-ENVIRONNEMENT LYON ET RHONE-ALPES,FR,OTH,BRGM Auvergne-Rhone-Alpes - Lyon,https://ror.org/00mpbzg97,0.125,
XSUN,FR,PRC,,,0,
ELIA SYSTEM OPERATOR,BE,PRC,Elia System Operator,https://ror.org/00227f603,1,
EURO SUPPORT BV,NL,PRC,Euro Support (Czechia),https://ror.org/02dbhfj05,0.6666666666666666,
SIEC BADAWCZA LUKASIEWICZ-INSTYTUT LOTNICTWA,PL,REC,Sieć Badawcza Łukasiewicz - Instytut Lotnictwa,https://ror.org/003g5mn55,0.5,
UNIVERSIDAD DE LLEIDA,ES,HES,Universidad de Lérida,https://ror.org/050c3cw24,0.5,
HUN-REN TERMESZETTUDOMANYI KUTATOKOZPONT,HU,OTH,HUN-REN Természettudományi Kutatóközpont,https://ror.org/03zwxja46,1,
"WESTFALISCHE HOCHSCHULE GELSENKIRCHEN, BOCHOLT, RECKLINGHAUSEN",DE,HES,Westfälische Hochschule,https://ror.org/04p7ekn23,0.4,
PAUL SCHERRER INSTITUT,CH,REC,Institut Paul Scherrer,https://ror.org/03eh3y714,1,
"ALPACEM CEMENT, DD",SI,PRC,HfM DD,https://ror.org/01y01jq30,0.25,
AKADEMIA GORNICZO-HUTNICZA IM. STANISLAWA STASZICA W KRAKOWIE,PL,HES,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,https://ror.org/00bas1c41,0.75,
ARLANXEO DEUTSCHLAND GMBH,DE,PRC,Wikimedia Deutschland,https://ror.org/03e9gte70,0.3333333333333333,
CALVERA HYDROGEN S.A.,ES,PRC,Hydrogen Slovakia (Slovakia),https://ror.org/03ks9ad25,0.3333333333333333,
ECUBES TEHNOLOGIJE D.O.O.,SI,PRC,"Cgs plus, inovativne informacijske in Okoljske tehnologije, d.o.o.",https://ror.org/05bvpc358,0.125,
IRIS SRL,IT,PRC,IRIS,https://ror.org/050rr3m98,1,
SKODA AUTO AS,CZ,PRC,Škoda Auto,https://ror.org/01mr2n737,1,
IMERYS CERAMICS FRANCE,FR,PRC,Imerys (France),https://ror.org/027etx825,0.6666666666666666,
ESWE VERKEHRSGESELLSCHAFT MBH,DE,PRC,ESWE Verkehrsgesellschaft,https://ror.org/05e5sxk45,0.6666666666666666,
CYBERNETICA AS,EE,PRC,Cybernetica (Norway),https://ror.org/01094wq95,0.5,
LHYFE PRODUCTION 2,FR,PRC,DEL 2,https://ror.org/042rf5k64,0.25,
OY WOIKOSKI AB,FI,PRC,Oy Merinova,https://ror.org/05j9gf041,0.3333333333333333,
BIRMINGHAM CITY COUNCIL,UK,PUB,Birmingham City Council,https://ror.org/04dm6ed68,1,
FUKS GROUP SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA SPOLKA KOMANDYTOWA,PL,PRC,Wasilczyk Medical Clinic Spółka z ograniczoną odpowiedzialnością Spółka komandytowa,https://ror.org/00cmt6n88,0.36363636363636365,
ENC POWER LDA,PT,PRC,ENC,https://ror.org/047g72407,0.3333333333333333,
HOLDING SLOVENSKE ELEKTRARNE DOO,SI,PRC,Slovenské Elektrárne (Slovakia),https://ror.org/05kbysy14,0.5,
OMV DOWNSTREAM GMBH,AT,PRC,OMV,https://ror.org/05ern7v24,0.5,
F. INICIATIVAS ESPANA I MAS D MAS I SLU,ES,PRC,MAS,https://ror.org/01bawjd60,0.14285714285714285,
